[2021-08-09 17:15:54,353] - [INFO] - // ** *** ** *** ** *** ** ***   Beginning Of The Test   ** *** ** *** ** *** ** *** //
[2021-08-09 17:16:15,897] - [INFO] - Open url: https://www.shiguangkey.com/
[2021-08-09 17:16:16,018] - [INFO] - Maximizes the current window
[2021-08-09 17:16:16,071] - [INFO] - The element ' None ' was clicked.
[2021-08-09 17:16:16,417] - [INFO] - Successful to switch to frame!
[2021-08-09 17:16:16,490] - [INFO] - The element '  ' was clicked.
[2021-08-09 17:16:16,526] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:17,059] - [INFO] - Input data: jack
[2021-08-09 17:16:17,095] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:17,656] - [INFO] - Input data: 123456
[2021-08-09 17:16:17,725] - [INFO] - The element '  ' was clicked.
[2021-08-09 17:16:19,841] - [INFO] - Open url: https://www.shiguangkey.com/
[2021-08-09 17:16:19,845] - [INFO] - Maximizes the current window
[2021-08-09 17:16:19,911] - [INFO] - The element ' None ' was clicked.
[2021-08-09 17:16:20,099] - [INFO] - Successful to switch to frame!
[2021-08-09 17:16:20,170] - [INFO] - The element '  ' was clicked.
[2021-08-09 17:16:20,207] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:20,744] - [INFO] - Input data: t0301528378
[2021-08-09 17:16:20,780] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:21,318] - [INFO] - Input data: Mozart1998.?
[2021-08-09 17:16:21,378] - [INFO] - The element '  ' was clicked.
[2021-08-09 17:16:21,379] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:32,937] - [ERROR] - Locate Failed，Error:Message: 

[2021-08-09 17:16:32,940] - [ERROR] - Faild to Get the text: ('xpath', '//div[@class="userinfo-top"]/p') Error: Message: invalid argument: 'using' must be a string
  (Session info: chrome=92.0.4515.131)

[2021-08-09 17:16:33,185] - [INFO] - Sleep for 2 seconds
[2021-08-09 17:16:35,186] - [INFO] - Closing and quit the browser.
[2021-08-09 17:16:41,376] - [INFO] - Open url: https://mail.163.com/
[2021-08-09 17:16:41,490] - [INFO] - Maximizes the current window
[2021-08-09 17:16:41,523] - [INFO] - Successful to switch to frame!
[2021-08-09 17:16:41,561] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:42,081] - [INFO] - Input data: jack
[2021-08-09 17:16:42,139] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:42,687] - [INFO] - Input data: 123456
[2021-08-09 17:16:42,767] - [INFO] - The element ' None ' was clicked.
[2021-08-09 17:16:42,767] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:43,344] - [INFO] - Get the text: 当前登录环境有风险，请点击前往进行安全验证
[2021-08-09 17:16:43,653] - [INFO] - 断言失败
[2021-08-09 17:16:44,222] - [INFO] - Open url: https://mail.163.com/
[2021-08-09 17:16:44,226] - [INFO] - Maximizes the current window
[2021-08-09 17:16:44,256] - [INFO] - Successful to switch to frame!
[2021-08-09 17:16:44,291] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:44,810] - [INFO] - Input data: sara
[2021-08-09 17:16:44,845] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:45,394] - [INFO] - Input data: 
[2021-08-09 17:16:45,463] - [INFO] - The element ' None ' was clicked.
[2021-08-09 17:16:45,463] - [INFO] - Sleep for 0.5 seconds
[2021-08-09 17:16:45,995] - [INFO] - Get the text: 请输入密码
[2021-08-09 17:16:45,995] - [INFO] - 断言成功
[2021-08-09 17:16:45,995] - [INFO] - Sleep for 2 seconds
[2021-08-09 17:16:47,995] - [INFO] - Closing and quit the browser.
[2021-08-09 17:16:48,029] - [INFO] - // ** *** ** *** ** *** ** ***   End Of The Test   ** *** ** *** ** *** ** *** //
